Utterance,Speaker,Emotion,Strategy,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
I told you.,Client,sadness,undefined,0,0,1,1,"00:00:54,097","00:00:55,113"
Told me what?,Therapist,neutral,Open question,0,1,1,1,"00:00:55,260","00:00:56,263"
That you'd be sorry you ever encouraged me to cry here.,Client,sadness,undefined,0,2,1,1,"00:00:56,651","00:00:59,719"
I'm not sorry at all.,Therapist,neutral,Communication Skills,0,3,1,1,"00:00:59,951","00:01:01,237"
"You didn't expect it to be like this, I bet.",Client,sadness,undefined,0,4,1,1,"00:01:03,404","00:01:05,206"
Like what?,Therapist,neutral,Open question,0,5,1,1,"00:01:05,880","00:01:06,826"
You know what?,Client,sadness,undefined,0,6,1,1,"00:01:09,711","00:01:10,714"
It's disappointing.,Client,sadness,undefined,0,7,1,1,"00:01:11,563","00:01:12,835"
"I thought I'd feel better,",Client,sadness,undefined,0,8,1,1,"00:01:14,360","00:01:15,993"
relieved.,Client,sadness,undefined,0,9,1,1,"00:01:16,106","00:01:17,109"
I thought it'd be a lot more fun.,Client,sadness,undefined,0,10,1,1,"00:01:18,549","00:01:20,131"
And it isn't?,Therapist,neutral,Open question,0,11,1,1,"00:01:20,179","00:01:21,297"
"No, it's horrible.",Client,sadness,undefined,0,12,1,1,"00:01:21,544","00:01:23,259"
"I don't know if I'm able to talk today, Paul.",Client,sadness,undefined,0,13,1,1,"00:01:23,887","00:01:25,952"
I shouldn't have come. I should have just.,Client,sadness,undefined,0,14,1,1,"00:01:28,471","00:01:30,734"
I should have just called it off. I'm sorry.,Client,sadness,undefined,0,15,1,1,"00:01:31,516","00:01:33,561"
Are you all right?,Therapist,neutral,Open question,0,16,1,1,"00:01:38,243","00:01:39,362"
Yeah.,Client,sadness,undefined,0,17,1,1,"00:01:40,159","00:01:41,313"
Sit down.,Therapist,neutral,Communication Skills,0,18,1,1,"00:01:40,159","00:01:41,313"
Sit.,Therapist,neutral,Communication Skills,0,19,1,1,"00:01:41,779","00:01:42,599"
"You know, I've been sitting out in the park about four hours.",Client,sadness,undefined,0,20,1,1,"00:01:49,563","00:01:52,416"
Out here?,Therapist,neutral,Communication Skills,0,21,1,1,"00:01:53,868","00:01:55,352"
Yeah.,Client,sadness,undefined,0,22,1,1,"00:01:53,868","00:01:55,352"
"I wanted to call it off, the session, but...",Client,sadness,undefined,0,23,1,1,"00:01:56,991","00:01:59,843"
I wasn't sure i'd be able to make it home alone.,Client,sadness,undefined,0,24,1,1,"00:02:00,622","00:02:03,081"
I took a cab here.,Client,sadness,undefined,0,25,1,1,"00:02:04,848","00:02:06,172"
My car's at home.,Client,sadness,undefined,0,26,1,1,"00:02:06,237","00:02:07,375"
"God, at least I think it is.",Client,sadness,undefined,0,27,1,1,"00:02:09,165","00:02:10,679"
"Yeah yeah, my car's at home.",Client,sadness,undefined,0,28,1,1,"00:02:15,198","00:02:17,031"
"My god, it's freezing.",Client,sadness,undefined,0,29,1,1,"00:02:20,404","00:02:22,025"
I came this close to knocking on your door and asking for a sweater.,Client,sadness,undefined,0,30,1,1,"00:02:23,584","00:02:26,430"
When was that?,Therapist,neutral,Open question,0,31,1,1,"00:02:26,450","00:02:27,528"
"I don't know. Maybe 5:00 or 6:00,I can't remember.",Client,depression,undefined,0,32,1,1,"00:02:27,749","00:02:30,424"
It was still dark.,Client,depression,undefined,0,33,1,1,"00:02:30,444","00:02:31,784"
I waited for the sun to come up.,Client,depression,undefined,0,34,1,1,"00:02:32,262","00:02:33,870"
I've never waited,Client,depression,undefined,0,35,1,1,"00:02:35,107","00:02:36,277"
"this long for a sunrise,",Client,depression,undefined,0,36,1,1,"00:02:36,538","00:02:38,406"
except maybe on a camping trip in fifth grade.,Client,depression,undefined,0,37,1,1,"00:02:38,485","00:02:41,186"
Thank you.,Client,depression,undefined,0,38,1,1,"00:02:45,145","00:02:46,013"
You know what I did?,Client,sadness,undefined,1,0,1,1,"00:03:03,823","00:03:04,980"
What?,Therapist,neutral,Open question,1,1,1,1,"00:03:05,404","00:03:06,215"
"I held my cell phone,",Client,sadness,undefined,1,2,1,1,"00:03:06,658","00:03:08,163"
and I watched the minutes go by.,Client,sadness,undefined,1,3,1,1,"00:03:08,514","00:03:10,347"
